//id,name,atk,def,exp,hp,?,droprate,npcType,catalogID,desc1,desc2,desc3,desc4
1,"ﾔｸ中のｺﾞﾛﾂｷ",3,1,3,4,0,10,1,528,"・フラフラと歩くぞ。","・必ず「ｵﾚｯちのｺｰﾄ」を落とすぞ。","・ｺｰﾄを持っていると向かってくるぞ。","・ｺｰﾄが落ちているとそこへ向かうぞ。"
2,"ヌケサク",4,3,5,7,0,20,2,363,"・とくに何もないぞ。","","",""
3,"ﾀﾜｰ･ｵﾌﾞ･ｸﾞﾚｰ",6,5,8,9,0,20,3,311,"・近い場所に瞬間移動することがあるぞ。","","",""
4,"ﾃﾞｽ･13",11,6,95,21,0,8,3,325,"・時々眠らせてくるぞ。","","",""
5,"小汚い浮浪者",2,2,3,5,0,20,1,105,"・とくに何もないぞ。","・衛生観念のない虫けら同然の浮浪者だ。","",""
6,"ｴﾎﾞﾆｰﾃﾞﾋﾞﾙの人形",9,7,45,20,0,20,0,312,"・攻撃を受けると恨みで攻撃力が上がるぞ。","","",""
7,"運命の車輪",8,7,36,18,0,20,3,316,"・ガソリンの弾丸を撃ってくるぞ。","","",""
8,"無愛想親父の死体",8,4,40,13,0,999,0,318,"・エンヤ婆に操られている死体だ。","・エンヤ婆がやられると、ただの死体に戻るぞ。","",""
9,"ﾗﾊﾞｰｿｳﾙ",8,8,40,17,0,20,1,314,"・殴ると肉片が貼り付いてしまうことがあるぞ。","・アイテムを投げると食べて攻撃力が上がるぞ。","",""
10,"ﾉﾄｰﾘｱｽBIG",19,1,320,140,0,20,3,521,"・攻撃すると肉片を貼り付けることがあるぞ。","・速く動いても同じ速度で追ってくるぞ。","・ゆっくり動くと追いかけてこないぞ。","・アイテムを投げると食べて攻撃力が上がるぞ。"
11,"ﾜｲｱｰﾄﾞのﾍﾞｯｸ",16,15,150,38,0,20,2,212,"・とくに何もないぞ。","","",""
12,"ｴｺｰｽﾞACT3",11,7,100,25,0,20,8,419,"・体を重くして鈍足にしてくるぞ。","","",""
13,"ﾗﾊﾞｰｽﾞ",10,8,75,18,0,20,3,322,"・攻撃すると分裂して増えることがあるぞ。","","",""
14,"床屋のｶｰﾝ",18,17,350,48,0,20,1,345,"・ダメージを受けると攻撃力がアップするぞ。","・強烈な一撃を繰り出すことがあるぞ。","",""
15,"ﾍﾟｯﾄｼｮｯﾌﾟ",21,19,850,40,0,20,0,360,"・氷のミサイルを発射してくるぞ。","・隣接時に氷漬けにしてくるぞ。","",""
16,"ﾊｲﾌﾟﾘｴｽﾃｽ",11,8,30,20,0,1,3,328,"・アイテムに化けているぞ。","","",""
